GenePage ID	Gene Symbol	Human Entrez ID	OMIM Gene ID	OMIM Disease IDs(|)	XB tropicalis ID	Entrez tropicalis ID	XB laevis.L ID	laevis.L Symbol	Entrez laevis.L ID	XB laevis.S ID	laevis.S Symbol	Entrez laevis.S ID
478568	ccnt1	904	143055		478569	100170179	865192	ccnt1.L	734952	17336292	ccnt1.S	108709810
478577	dner	92737	607299		478578	779617	865193	dner.L	447353	6253464	dner.S	733218
478586	tgfbr1	7046	190181	609129|132800|609192	478587	548715	17333207	tgfbr1.L		865194	tgfbr1.S	399295
478595	cd83	9308	604534		478596		17341952	cd83.L		17341953	cd83.S	
478599	frs3	10817	607744		478600	100101737	17341949	frs3.L	108704548	865196	frs3.S	432079
478608	nkx6-3	157848	610772		478609	100489301	865197	nkx6-3.L	100101319	17331657	nkx6-3.S	108712455
478614	nog4				478615	733455	17339907	nog4.L	108713674	865198	nog4.S	734180
478621	tcf25	22980	612326		478622	780251	865199	tcf25.L	100049094	17331060	tcf25.S	
478628	tnni2	7136	191043	601680	478629	496523	17331058	tnni2.L	108713830	865200	tnni2.S	379243
478638	dact1	51339	607861	617466	478639	493325	478643	dact1.L	399186	6251608	dact1.S	398315
478655	ankrd6	22881	610583		478656	100101692	17338667	ankrd6.L	108716874	17338668	ankrd6.S	108717970
478662	prkcd	5580	176977	615559	478663	733756	865202	prkcd.L	404227	6253884	prkcd.S	404226
478671	irs1			125853|147545	478672	100495320	478676	irs1.L	399299	17338071	irs1.S	
478680	flii	2314	600362		478681	548565	17334153	flii.L	108701678	865203	flii.S	444748
478688	bag6	7917	142590		478689	100038304	6255172	bag6.L	379698	865204	bag6.S	398926
478698	fgfr4	2264	134935		478699	549077	865205	fgfr4.L	397701	6251918	fgfr4.S	398181
478708	ccnk	8812	603544		478709	779776	865206	ccnk.L	734423	17344696	ccnk.S	108699804
478717	rxra	6256	180245		478718	100487877	865207	rxra.L	378685	17336574	rxra.S	108699915
478727	impdh2	3615	146691	617995	478728	493428	17345296	impdh2.L	399236	478732	impdh2.S	398453
478737	ckmt1b	1159	123290		478738	395000	865209	ckmt1b.L	379216	6254065	ckmt1b.S	380155
478745	cdkn2b	1030	600431		478746	448767	6252794	cdkn2b.L	779240	17343508	cdkn2b.S	108706939
478751	mapkap1	79109	610558		478752	100101680	478756	mapkap1.L	380158	17335392	mapkap1.S	108700015
478760	six3	6496	603714	157170|269160	478761	100493798	478765	six3.L	373739	17343547	six3.S	398146
478770	fga	2243	134820	202400|105200|616004	478771	100038060	17336004	fga.L	398654	478775	fga.S	380021
478788	tbxt	6862	601397	182940|615709	478789	493501	6255736	tbxt.L	432248	865212	tbxt.S	399275
478797	polg	5428	174763	203700|157640|607459|603041|258450|613662	478798	100488393	865213	polg.L	397851	17338988	polg.S	
478806	fras1	80144	607830	219000	478807	100487299	17341205	fras1.L	108719644	6487486	fras1.S	108704516
478812	fzd6	8323	603409	614157	478813	100490861	17332468	fzd6.L	108719371	865215	fzd6.S	495007
478821	map2k1	5604	176872	163950|615279	478822	493420	865216	map2k1.L	379991	17341792	map2k1.S	108712802
478831	hoxc13	3229	142976	614931	478832	100487255	17333057	hoxc13.L	108708641	6488550	hoxc13.S	108709899
478840	nudcd1	84955	606109		478841	549375	17342378	nudcd1.L		865218	nudcd1.S	380474
478849	acvr1	90	102576	135100	478850	550111	6254423	acvr1.L	399103	865219	acvr1.S	399083
478858	mycn	4613	164840	164280|189960	478859	448649	6464367	mycn.L	100337516	478863	mycn.S	380041
478868	avp	551	192340	125700	478869	100038191	17342965	avp.L	108696258	17342966	avp.S	108705783
478874	bmp10	27302	608748		478875	100487047	17334270	bmp10.L	108711549	17334271	bmp10.S	108712458
478880	c4a	720	120810	152700|614374|614380	478881	100135012	478885	c4a.L	394275	17338862	c4a.S	
478887	hoxa10	3206	142957		478888		6486002	hoxa10.L	108718901	17338861	hoxa10.S	108719931
478897	stard13	90627	609866		478898	734093	17329996	stard13.L	108708689	865223	stard13.S	734206
478906	slc9b2	133308	611789		478907	100101762	6487667	slc9b2.L	108710794	17337319	slc9b2.S	108706734
478911	mrps18b	28973	611982		478912	100489063	17346080	mrps18b.L	108698583	865225	mrps18b.S	734739
478921	foxf1	2294	601089	265380	478922	734087	865226	foxf1.L	399398	6254084	foxf1.S	735218
478929	tll2	7093	606743		22062583		478934	tll2.L	399469	17336748	tll2.S	
478938	rxfp3	51289	609445		478939	100489869	17345478	rxfp3.L	108718418	17345479	rxfp3.S	108707319
478944	odc1	4953	165640	114500	478945	448028	856383	odc1.L	379859	17336191	odc1.S	108718243
478952	agtr1	185	106165	145500|267430	478953	100170183	865228	agtr1.L	398763	5969923	agtr1.S	378523
478961	hoxd4	3233	142981		478962	100497379	6466680	hoxd4.L	100380950	17335561	hoxd4.S	
478971	ppt2	9374	603298		478972	100101696	865230	ppt2.L	379689	18006534	ppt2.S	
478981	cdhr1	92211	609502	613660	478982	100496998	865231	cdhr1.L	100337587	17339736	cdhr1.S	108703385
478991	stat4	6775	600558	180300|152700|612253	478992	100496013	17331484	stat4.L	108701493	17331485	stat4.S	
479001	hivep1	3096	194540		479002	100491039	17331733	hivep1.L	108719137	865233	hivep1.S	496396
479010	rab2a	5862	179509		479011	100038062	865234	rab2a.L	735215	17340518	rab2a.S	
479020	cchcr1	54535	605310		479021	100144685	6488115	cchcr1.L	108698578	17332364	cchcr1.S	
479026	nkx3-1	4824	602041		479027	100038192	479031	nkx3-1.L	379899	6252708	nkx3-1.S	373737
479035	rap1b	5908	179530		479036	493557	479040	rap1b.L	379883	17341081	rap1b.S	
479045	smurf1	57154	605568		479046	100491582	479050	smurf1.L	398131	17332942	smurf1.S	108703087
479054	foxc1	2296	601090	601631|602482	479055	493250	865236	foxc1.L	734912	6252135	foxc1.S	397996
479063	psmb8	5696	177046	256040	479064	445258	479068	psmb8.L	399439	17333567	psmb8.S	
479073	csnk1g3	1456	604253		479074	100038034	865237	csnk1g3.L	100036840	17342298	csnk1g3.S	734338
479082	apom	55937	606907		479083	100037868	865238	apom.L	446928	17346298	apom.S	
479092	rab14	51552	612673		479093	493231	17338147	rab14.L	108698208	479097	rab14.S	494665
479102	tbx21	30009	604895	208550	479103	100496799	17335677	tbx21.L	108700793	17335678	tbx21.S	
479111	fstl5				479112	100493709	17341859	fstl5.L	108699159	6488517	fstl5.S	108706642
479117	olig2	10215	606386		479118	100486745	17343805	olig2.L	108707878	17343806	olig2.S	108709229
479124	slc4a4	8671	603345	604278	479125	100490445	6486666	slc4a4.L	108711128	17343287	slc4a4.S	108706771
479133	bmp6	654	112266		479134	100127176	17343194	bmp6.L	108719128	865243	bmp6.S	734440
479143	lmo2	4005	180385		479144	496679	17336858	lmo2.L	108713784	6254426	lmo2.S	394388
479153	app	351	104760	605714|104300	479154	448208	479158	app.L	398223	17345003	app.S	379251
479163	vwa7	80737	609693		479164	101730846	17336297	vwa7.L	108698576	17336298	vwa7.S	
479168	ifnl3	282617	607402	609532	479169	100329165	17336302	ifnl3.L		17336303	ifnl3.S	
479173	ighx				479174	548370	865247	ighx.L		17344394	ighx.S	
479180	nbl1	4681	600613		479181	448558	865248	nbl1.L	373697	17332691	nbl1.S	108697874
479190	bmp1	649	112264	614856	479191	733960	6252324	bmp1.L	397872	479195	bmp1.S	399093
479200	cyp24a1	1591	126065	143880	479201	100497429	6487256	cyp24a1.L	108700906	17339588	cyp24a1.S	
479209	dll1	28514	606582		479210	100101697	865250	dll1.L	100337564	17339584	dll1.S	108717842
479218	ankrd49				479219	100487113	17331348	ankrd49.L	108707576	865251	ankrd49.S	100380951
479227	ppp2r5c	5527	601645		479228	394858	865252	ppp2r5c.L	447462	17338969	ppp2r5c.S	108699778
479236	stk19	8859	604977		479237	779500	865253	stk19.L	496007	17334638	stk19.S	
479246	foxd4l1.1	200350	611084		479247	549682	6252054	foxd4l1.1.L	398016	865254	foxd4l1.1.S	398170
479254	fgfr3	2261	134934	100800|109800|603956|146000|149730|602849|187600|114500|273300|610474|612247|162900|616482|187601	479255	100196923	479259	fgfr3.L	779370	17330101	fgfr3.S	399347
479264	mmp11	4320	185261		479265	100493314	865255	mmp11.L	379501	17337788	mmp11.S	108707122
479273	angptl5	253935	607666		479274	100493165	17342429	angptl5.L	108708730	17342430	angptl5.S	
479278	eya1	2138	601653	113650|166780|602588	479279	779594	479283	eya1.L	399175	17346520	eya1.S	108695338
479288	sufu	51684	607035	155255|607174|109400|617757	479289	100170148	865257	sufu.L	444442	17337188	sufu.S	108697422
479298	bmp15	9210	300247	300510	479299	100485893	6488018	bmp15.L	108698258	17345941	bmp15.S	108700530
479305	ms4a1	931	112210	613495	479306	496881	17333888	ms4a1.L		17333889	ms4a1.S	
479311	slc12a3l	6559	600968	263800	479312	100038063	6486163	slc12a3l.L		17342062	slc12a3l.S	108707046
479317	notch1	4851	190198	109730|616028	479318	100037842	17342057	notch1.L	108698191	865261	notch1.S	394367
479326	lmo4.2	8543	603129		479327	548539	865262	lmo4.2.L	373776	6256064	lmo4.2.S	379392
479336	rab30	27314	605693		479337	448082	17342632	rab30.L		865263	rab30.S	432259
479346	khdrbs1	10657	602489		479347	549799	17335140	khdrbs1.L	108707505	865264	khdrbs1.S	398660
479353	nr0b2	8431	604630	601665	479354	613046	17343231	nr0b2.L	108704153	17343232	nr0b2.S	108717989
479360	cfb	629	138470	615489|612924|615561	479361	100491419	17335705	cfb.L	397725	865266	cfb.S	373577
479370	bmp5	653	112265		479371	100494976	6488816	bmp5.L	108716914	17343827	bmp5.S	108718013
479380	hras	3265	190020	109800|218040|188470|162900|137550|163200	479381	549757	479385	hras.L	399406	17336326	hras.S	
479388	umod.1	7369	191845	609886|162000|603860	479389	100491925	6486702	umod.1.L		17336322	umod.1.S	
479394	ttr	7276	176300	105210|115430|145680	479395	100125183	865269	ttr.L	397787	17344424	ttr.S	108695276
479403	hes6.2	55502	610331		479404	779656	17337816	hes6.2.L	108717119	17337817	hes6.2.S	108718189
479410	sbno1	55206	614274		479411	100170149	17346562	sbno1.L	108716569	865270	sbno1.S	100381048
479418	clic1	1192	602872		479419	394484	17346559	clic1.L	444165	6255770	clic1.S	398656
479428	ar	367	313700	300068|176807|313200|300633|312300	479429	100489816	479433	ar.L	399456	17338399	ar.S	
479438	meis1	4211	601739		479439	100488182	17330137	meis1.L		479443	meis1.S	399305
479448	slc6a7	6534	606205		479449	100487063	17336629	slc6a7.L		17336630	slc6a7.S	108712271
479457	pbx3	5090	176312		479458	100495648	17345376	pbx3.L		17345377	pbx3.S	108700014
479466	mapk1	5594	176948		479467	549881	6252586	mapk1.L	397785	865273	mapk1.S	398985
479476	cxxc4	80319	611645		479477	779646	17345976	cxxc4.L	108710745	6465497	cxxc4.S	108706732
479485	nusap1	51203	612818		479486	594881	6256496	nusap1.L	779094	865275	nusap1.S	734222
479495	rps6ka1	6195	601684		479496	100144704	479500	rps6ka1.L	445821	17332054	rps6ka1.S	
479504	rln3	117579	606855		479505	100101698	4751928	rln3.L	100158458	17332376	rln3.S	108703452
479511	bcap31	10134	300398	300475	479512	394579	479516	bcap31.L	446331	17332941	bcap31.S	
479521	fgf11	2256	601514		479522	101027272	17341094	fgf11.L	108711836	17341095	fgf11.S	108703577
479531	cdkn2c	1031	603369		479532	100144705	17332367	cdkn2c.L	108714312	6489023	cdkn2c.S	108715590
479537	aicda	57379	605257	605258	479538	100497606	479542	aicda.L	734224	17332369	aicda.S	108697151
479547	atp6v1a	523	607027	617403|618012	479548	493238	865279	atp6v1a.L	734627	17340515	atp6v1a.S	108709283
479557	zeb2	9839	605802	235730	479558	100492834	17331728	zeb2.L	108701318	865280	zeb2.S	100049718
479566	wnt3	7473	165330	273395	479567	100125198	17339967	wnt3.L	108700866	17333618	wnt3.S	108702370
479576	cxcl2	2920	139110		479577	100498017	6487043	cxcl2.L	108711085	17331118	cxcl2.S	108706768
479582	hdac1	3065	601241		479583	594953	6252325	hdac1.L	397868	865283	hdac1.S	379083
479592	socs5	9655	607094		479593	549598	865284	socs5.L	100381168	17335412	socs5.S	108717737
479598	ctnna1	1495	116805	608970	479599	100493479	17335407	ctnna1.L	108710831	865285	ctnna1.S	399303
479607	ppp1r8	5511	602636		479608	549833	865286	ppp1r8.L	398974	17338132	ppp1r8.S	779310
479614	spib	6689	606802		479615	100271885	865287	spib.L	379335	6255533	spib.S	100037053
479623	nfil3	4783	605327		479624	548427	865288	nfil3.L	447503	17345002	nfil3.S	
479633	slc5a8.1	160728	608044		479634	394505	865289	slc5a8.1.L	403396	17336860	slc5a8.1.S	
479642	mybpc3	4607	600958	115200|115197|615396	479643	100127177	17346813	mybpc3.L	108713456	865291	mybpc3.S	398261
479651	nrm				479652	100489431	865292	nrm.L	444319	17338689	nrm.S	
479660	zbp1	81030	606750		479661	101732530	17346231	zbp1.L		17346232	zbp1.S	
479666	pou3f4	5456	300039	304400	479667	100036711	865294	pou3f4.L	397929	17346234	pou3f4.S	444776
479675	pde5a	8654	603310		479676	780273	17338088	pde5a.L	108710540	865295	pde5a.S	495103
479685	miip	60672	608772		479686	100038064	6486891	miip.L	108696369	17343188	miip.S	
479690	psmb7.2	5695	604030		479691	100489016	865297	psmb7.2.L	379551	17335107	psmb7.2.S	108700669
479700	ppp1r2	5504	601792		479701	100038193	6077473	ppp1r2.L	100036887	17345643	ppp1r2.S	108718077
479706	fzd5	7855	601723		479707	100488110	17332634	fzd5.L	108701475	865299	fzd5.S	373834
479715	ctdp1	9150	604927	604168	479716	549776	17340767	ctdp1.L	398018	865300	ctdp1.S	447713
479725	aqp5	362	600442	600231	479726	100491662	17333223	aqp5.L	108707561	17333224	aqp5.S	108709135
479734	il11	3589	147681		479735	105947927	17341387	il11.L		17341388	il11.S	108697752
479740	aldh8a1	64577	606467		479741	100487000	17338207	aldh8a1.L	108716151	17338208	aldh8a1.S	
479750	zfx	7543	314980		479751	100038167	17339589	zfx.L	108708003	865304	zfx.S	397971
479759	frs2	10818	607743		479760	100038035	479764	frs2.L	380490	17339585	frs2.S	398273
479768	eomes	8320	604615		479769	100038065	865305	eomes.L	398065	6487182	eomes.S	495078
479778	cebpb	1051	189965		479779	619595	865306	cebpb.L	734434	6464321	cebpb.S	100337599
479788	ace			267430|106180|104300|603933|614519|612624	479789	100144634	6486672	ace.L		17330109	ace.S	
479794	kng1	3827	612358	228960	479795	100038066	865308	kng1.L	494833	17338373	kng1.S	108718071
479801	twist1	7291	601622	101400|123100|180750|617746	479802	395054	6255840	twist1.L	100036981	865309	twist1.S	378698
479808	med1l	5469	604311		479809	779622	865310	med1l.L	443618	17339582	med1l.S	
479817	foxd2	2306	602211		479818	100495241	17331337	foxd2.L	108714300	865311	foxd2.S	378641
479826	tal1	6886	187040	613065	479827	100196924	17340145	tal1.L	108714298	865312	tal1.S	398028
479836	klf13	51621	605328	612001	479837	100101699	17331955	klf13.L	108711347	6486371	klf13.S	108712952
479842	lrp1	4035	107770	604093	479843	100485788	17340725	lrp1.L	108708583	865314	lrp1.S	496382
479851	thdl17				479852	100492721	6254660	thdl17.L	394298	17332573	thdl17.S	
479858	nr1i3	9970	603881		479859	100495136	17332570	nr1i3.L	101027310	6487128	nr1i3.S	101027281
479867	tp63	8626	603273	103285|604292|106260|603543|129400|605289	479868	100497737	865317	tp63.L	373640	17341311	tp63.S	399036
479875	pax5	5079	167414	615545	479876	100493222	865318	pax5.L	378499	17333155	pax5.S	
479885	10a1.1				479886		17341893	10a1.1.L		6077477	10a1.1.S	379519
479892	irs4	8471	300904		479893	100196925	6253207	irs4.L	495836	865320	irs4.S	399388
479901	znf280d				479902	100144635	6486320	znf280d.L	108711367	17343413	znf280d.S	108712933
479907	nkx3-3				479908	100485176	17343410	nkx3-3.L	108696175	865322	nkx3-3.S	373704
479917	il10	3586	124092	180300|609423|614395	479918	100335053	17334709	il10.L	108707703	6489349	il10.S	108709106
479924	slc12a1	6557	600839	601678	479925	100490198	6486739	slc12a1.L	101101701	17342815	slc12a1.S	
479931	irx6	79190	606196		479932	100486749	17334111	irx6.L		17334112	irx6.S	
479940	tll1	7092	606742	613087	479941	493401	17344589	tll1.L	108704955	865326	tll1.S	399178
479950	rap2a	5911	179540		479951	619593	17335901	rap2a.L		479955	rap2a.S	380407
479959	casp3.2	836	600636		479960	100151728	17335907	casp3.2.L	100036910	865327	casp3.2.S	397720
479969	snai1	6615	604238		479970	394880	17344016	snai1.L	379615	865328	snai1.S	379615
479979	hoxa13	3209	142959	176305|140000	479980	100497053	17335312	hoxa13.L	108718904	865329	hoxa13.S	378638
479989	bmpr2	659	600799	178600|265450	479990	100494339	17345809	bmpr2.L	108701455	865330	bmpr2.S	397981
479998	fgf12	2257	601513	617166	479999	100101804	17337062	fgf12.L	108716975	865331	fgf12.S	444635
480008	cd151	977	602243	179620|609057	480009	100144686	6255368	cd151.L	446702	17341345	cd151.S	108715182
480017	nr2f1	7025	132890	615722	480018	100101681	480022	nr2f1.L	399145	17332047	nr2f1.S	494593
480027	h1-0	3005	142708		480028	407939	865333	h1-0.L	398662	6255778	h1-0.S	398634
480034	slc7a5	8140	600182		480035	100101781	6254908	slc7a5.L	398978	865334	slc7a5.S	734908
480043	abhd16a	7920	142620		480044	448462	865335	abhd16a.L	446829	6253783	abhd16a.S	380345
480053	il18rap	8807	604509		480054	100491212	6485854	il18rap.L	108708408	17331989	il18rap.S	
480059	hspa5	3309	138120		480060	100492570	17331987	hspa5.L	397850	865337	hspa5.S	379756
480066	tnik	23043	610005	617028	480067	100493253	17340748	tnik.L		865338	tnik.S	443633
480075	foxg1	2290	164874	613454	480076	100144706	865339	foxg1.L	373732	17332587	foxg1.S	100037201
480084	hmx2	3167	600647		480085	100486800	17338938	hmx2.L	495452	865340	hmx2.S	495452
480093	eef1a1	1915	130590		480094	549446	17330683	eef1a1.L	108704161	865341	eef1a1.S	386604
480102	mfn2	9927	608507	609260|601152|617087	480103	549268	865342	mfn2.L	431918	17345244	mfn2.S	108697551
480111	nr1i2	8856	603065		480112	100038168	17336519	nr1i2.L	379051	865343	nr1i2.S	399017
480121	hand1	9421	602406		480122	549497	865344	hand1.L	373663	17344626	hand1.S	
480130	tnf	7124	191160	600807|248310|157300|611162	480131	100134991	1193620	tnf.L	100137625	17335928	tnf.S	108700235
480137	agt			145500|267430|106150	480138	100127178	17335929	agt.L	108716126	6488165	agt.S	108717410
480145	pkd1l1	168507	609721	617205	480146	100492056	6486000	pkd1l1.L	108718505	17344039	pkd1l1.S	
480151	onecut1	3175	604164		480152	100101763	17335344	onecut1.L	108711382	17335345	onecut1.S	
480158	grk4	2868	137026		480159	448587	865349	grk4.L	446831	6253381	grk4.S	474158
480166	rxrb	6257	180246		480167	548691	6254669	rxrb.L	394278	865350	rxrb.S	398075
480176	dbx1				480177	100495433	17334739	dbx1.L	108713727	865351	dbx1.S	373822
480185	il6	3569	147620	125853|148000|166710|222100|604302|266600|108010	480186	100493927	17342859	il6.L	108718487	6489373	il6.S	121395019
480191	paxip1	22976	608254	104300	480192	100487292	865353	paxip1.L	398236	17334148	paxip1.S	108719822
480200	septin2	4735	601506		480201	100036706	865354	septin2.L	398203	6255319	septin2.S	494757
480210	mst1r	4486	600168	617075	480211	493453	865355	mst1r.L	397974	17331392	mst1r.S	108715819
480219	pcdh17	27253	611760		480220	100485388	17331387	pcdh17.L	108708511	17331388	pcdh17.S	108709780
480228	ppara			170998	480229	100497346	480233	ppara.L	496107	17339020	ppara.S	398843
480238	igf1	3479	147440	608747	480239	100486334	6252361	igf1.L	108711020	17330790	igf1.S	108711020
480248	scyl3	57147	608192		480249	100038067	865358	scyl3.L	431988	17340764	scyl3.S	108715749
480258	tnnc2	7125	191039		480259	394554	17332623	tnnc2.L	379085	865359	tnnc2.S	379095
480267	gucy2f	2986	300041		480268	100492820	17340199	gucy2f.L	108698903	17340200	gucy2f.S	108700543
480277	rab8b	51762	613532		480278	100036650	480282	rab8b.L	447094	17332019	rab8b.S	447070
480286	il12b	3593	161561	600807|209950|177900|614890	480287		17341962	il12b.L		17341961	il12b.S	108712268
480293	slc13a2	9058	604148		480294	493460	17333803	slc13a2.L	108707962	480298	slc13a2.S	378573
480303	sox10	6663	602229	609136|277580|601706|611584|613266	480304	100101700	865362	sox10.L	398422	17343488	sox10.S	108715787
480313	pde6d	5147	602676	615665	480314	101731303	6488668	pde6d.L	108704673	17334777	pde6d.S	108718042
480319	hspb1	3315	602195	606595|608634	480320	780278	865364	hspb1.L	447107	17334774	hspb1.S	447105
480329	alb	213	103600	194470|616000|615999	480330	448227	6252618	alb.L	100189571	6256209	alb.S	448844
480337	sin3b	23309	607777		480338	779742	17335366	sin3b.L	443643	865366	sin3b.S	100036844
480346	actc1	70	102540	192600|612098|612794|613424	480347	394698	865367	actc1.L	379752	17342312	actc1.S	108699710
480354	msh5	4439	603382	617442	480355	100489595	17333582	msh5.L	108698572	17333583	msh5.S	
480360	g3bp2				480361	394887	865369	g3bp2.L	446341	17342891	g3bp2.S	108706761
480368	slbp	7884	602422		480369	448105	6077488	slbp.L	398073	17342885	slbp.S	444302
480378	fzd10	11211	606147		480379	448162	865370	fzd10.L	387604	6253606	fzd10.S	387605
480388	fetub	26998	605954		480389	496992	17345877	fetub.L	108716981	865580	fetub.S	379192
480395	wnt5b	81029	606361		480396	448452	17337117	wnt5b.L	108704582	865372	wnt5b.S	379842
480405	sia3				480406	100490453	17342589	sia3.L		17342590	sia3.S	
480412	slco5a1	81796	613543		480413	100492380	6488158	slco5a1.L	108719293	17334476	slco5a1.S	108695334
480421	cd3g	917	186740	615607	480422	100216101	17343174	cd3g.L		6253060	cd3g.S	373582
480430	zic3	7547	300265	306955|314390	480431	448197	17335097	zic3.L	108698501	865376	zic3.S	394375
