Gene Symbol	Human Entrez ID
nfil3	4783
slc5a8.1	160728
mybpc3	4607
nrm	
zbp1	81030
pou3f4	5456
pde5a	8654
miip	60672
psmb7.2	5695
ppp1r2	5504
fzd5	7855
ctdp1	9150
aqp5	362
il11	3589
aldh8a1	64577
zfx	7543
frs2	10818
eomes	8320
cebpb	1051
ace	
kng1	3827
twist1	7291
med1l	5469
foxd2	2306
tal1	6886
klf13	51621
lrp1	4035
thdl17	
nr1i3	9970
tp63	8626
pax5	5079
10a1.1	
irs4	8471
znf280d	
nkx3-3	
il10	3586
slc12a1	6557
irx6	79190
tll1	7092
rap2a	5911
casp3.2	836
snai1	6615
hoxa13	3209
bmpr2	659
fgf12	2257
cd151	977
nr2f1	7025
h1-0	3005
slc7a5	8140
abhd16a	7920
il18rap	8807
hspa5	3309
tnik	23043
foxg1	2290
hmx2	3167
eef1a1	1915
mfn2	9927
nr1i2	8856
hand1	9421
tnf	7124
agt	
pkd1l1	168507
onecut1	3175
grk4	2868
rxrb	6257
dbx1	
il6	3569
paxip1	22976
septin2	4735
mst1r	4486
pcdh17	27253
ppara	
igf1	3479
scyl3	57147
tnnc2	7125
gucy2f	2986
rab8b	51762
il12b	3593
slc13a2	9058
sox10	6663
pde6d	5147
hspb1	3315
alb	213
sin3b	23309
actc1	70
msh5	4439
g3bp2	
slbp	7884
fzd10	11211
fetub	26998
wnt5b	81029
sia3	
slco5a1	81796
cd3g	917
zic3	7547
dkk2	27123
hes5.3	388585
casp10	843
tjp2	9414
foxa2	3170
irx3	79191
fgf4	2249
tf	7018
tnnc1	7134
dhx16	8449
ren	5972
dpepe	
gnal	2774
tgfb2	7042
irx4	50805
spry1	10252
pnhd	
foxe3	2301
hopx	84525
ldha	3939
irx2	153572
traf6	7189
chrd.1	8646
cyp21a2.1	1589
foxo4	4303
aqp10	89872
pes1	23481
tlr5	7100
nrp1	8829
nos3	
six1	6495
sox4	6659
hoxa1	3198
ybx1	4904
rab38	23682
spry4	81848
zic5	85416
rasa2	5922
tmco3	55002
fzd8	8325
dand5	199699
nr2f6	2063
slc6a14.1	11254
rara	5914
bcl9	607
apc	324
sox8	30812
sin3a	25942
ccdc15	
nr4a2	4929
dll4	54567
nkd1	85407
pdp2	57546
bmper	168667
cdh5	1003
rps6ka3	6197
igf2r	3482
eaf1	85403
wnt9b.2	7484
fgf8	2253
shox2	6474
hoxc8	3224
rarb	5915
psmb9	5698
emx2	2018
gjb1	2705
stat3.1	6774
dxo	1797
rab11fip5	26056
rorc	6097
arrb2	409
avpr1b	553
ptges2	80142
hdac3	8841
dtx1	1840
srsf2	6427
hes5.1	388585
tlr2	7097
fgf22	27006
ide	3416
prdx1	5052
fibp	9158
foxj3	22887
csnk1g2	1455
tfap2a	7020
zbtb12	
ccnd2	894
tab1	10454
runx1t1	862
prkar1b	5575
pdp1	54704
gpank1	7918
met	4233
slc9a3r2	9351
gnl1	2794
id2	3398
smad6	4091
bcl2l1	598
e2f5	1875
isl1	3670
snip1	79753
frzb	2487
nfe2l1	4779
flt3	2322
foxc2	2303
smurf2	64750
aqp2	359
osr1	130497
gdf1	2657
hand2	9464
ghr	2690
mhc2a	
crim1	51232
il1r2	7850
kremen1	83999
aqp11	282679
tptep2-csnk1e	1454
pik3c2b	5287
ppard	5467
six2	10736
aqp9	366
vezf1	7716
map3k7	6885
f2	2147
dlgap5	9787
mmp13l	
lmx1a	4009
arrb1	408
tnnt1	7138
brd2	6046
fabp1	2168
stmn1	3925
epb41	2035
ptn	5764
dkk1	22943
tnfsf11	8600
aqp12a	375318
ell2	22936
tap2	6891
sap18	10284
six4	51804
ptgds	5730
socs4	122809
a2m	2
dbx2	
e2f1	1869
angptl4	51129
il1b	3553
tle4	7091
il5ra	3568
gdf5	8200
zfpm2	23414
elavl1	1994
gli2	2736
lrp6	4040
bmp2	650
darmin	
tnxb	7148
il7r	3575
fzd1	8321
tln2	83660
fgf20	26281
sox13	9580
amn	81693
osr2	116039
psen1	5663
aqp8	343
wnt7b	7477
prkci	5584
gadd45g	10912
hoxa6	3203
hoxa9	3205
zic1	7545
smad3	4088
rbbp4	5928
rab5a	5868
runx2	860
mfrp	83552
srf	6722
tbl1xr1	79718
dlc1	10395
dapp1	27071
sia2	
szl	
slc4a11	83959
myl2	4633
spry2	10253
pkd2	5311
il4r	3566
angptl1	9068
ptgs2	5743
hmgn3	9324
map2k4	6416
ly6g6c	80740
stat1	6772
csf3r	1441
tubb	203068
esr1	2099
tnfrsf11a	8792
rpl8	6132
nkx2-2	4821
jun	3725
pax9	5083
rcor2	283248
gadd45a	1647
hoxa3	3200
cdh3	1001
avpr2	554
ep300	2033
slc11a1	6556
ncoa2	10499
hoxd13	3239
hoxc9	3225
il2rg	3561
fgf5	2250
tnfsf13b	10673
nkiras2	28511
sia1	
fgl2	10875
trav	
casp2	835
timp3	7078
rps6kb1	6198
hnf4a	3172
stam	8027
e2f6	1876
tdgf1.3	
il17rd	54756
thbs2	7058
fgfrl1	53834
lhx1	3975
pitx2	5308
mpo	4353
smarce1	6605
bix1.1	
foxo1	2308
nr2c2	7182
trak2	66008
avpr1a	552
hivep3	59269
nr2f2	7026
hoxb3	3213
igf2	3481
slc1a5	6510
tnnt3	7140
tnnt2	7139
arg2	384
ccn1	3491
gli1	2735
zic2	7546
wnt10b	7480
pik3cb	5291
foxp2	93986
mamdc2	256691
prkacb	5567
mdm2	4193
e2f4	1874
hoxd1	3231
pax3	5077
cdk1	983
gzma	3001
map3k12	7786
barhl2	343472
cdx4	1046
casp6	839
selp	6403
atp1b1	481
wtap	9589
fap	2191
mmp2	4313
spred1	161742
tp73	7161
prl.1	5617
agtrap	57085
pappa	5069
prickle2	166336
arl6ip5	10550
nelfe	7936
sfrp5	6425
smad2	4087
slc20a1	6574
nr1h2	7376
ncf2	4688
adh1	
prrc2a	7916
fgf23.2	8074
foxo6	100132074
slc16a3	9123
glg1	2734
igf2bp3	10643
igsf3	3321
ctla4	1493
ccndx	
fxyd2	486
bmp4	652
ppp2r3a	5523
ventx3.2	
nr3c2	4306
il11ra	3590
armc1	
insrr	3645
foxn3	1112
admp2	
pparg	5468
six6	4990
tecta.2	7007
runx1	861
pou3f2	5454
flt4	2324
hesx1	8820
cxcl13	10563
nodal	4838
fgb	2244
hlx	3142
sox18	54345
hoxa11	3207
sox12	6666
il1rapl1	11141
nodal5	
kirrel1	55243
cd19	930
ncor1	9611
tank	10010
cdx2	1045
nr4a1	3164
mstn.1	2660
pdx1	3651
nfe2l3	9603
ruvbl2	10856
menf.1	
fibcd1	84929
gem	2669
ctbp1	1487
rfng	5986
rab32	10981
pkd1	5310
sox11	6664
rab3b	5865
slc12a5	57468
twsg1	57045
bmpr1b	658
dhh	50846
rasd1	51655
bmp3	651
vegfb	7423
eno1	2023
esrrb	2103
foxk2	3607
csf2rb	1439
mov10	4343
nlk	51701
nr2e1	7101
rab7a	7879
nkx6-1	4825
rabgap1l	9910
fgf16	8823
cdh11	1009
pdk1	5163
slc24a2	25769
il18r1.1	8809
c8g	733
rgn	9104
foxj2	
hoxa7	3204
evx1	2128
fgf14	2259
tek	7010
pax8	7849
pomc	5443
jak2	3717
cdk9	1025
fzd7	8324
slc34a2	10568
jak1	3716
crb1	23418
tnfrsf19	55504
hmx3	340784
cdkn2d	1032
gdnf	2668
casp9	842
baiap2l1	55971
itga11	22801
maea	10296
foxq1	94234
tax1bp3	30851
lsm2	57819
dvl1	1855
mef2d	4209
klf9	687
acvr1b	91
nfe2	4778
tbx15	6913
sox6	55553
arx	170302
tacc3	10460
kcnj1	3758
ctgfl	
znf326	284695
smarca4	6597
rasgrf2	5924
ppp2ca	5515
acvr2a	92
prmt1	3276
igf1r	3480
casp7	840
nppa	4878
aqp7	364
cul5	8065
arf4	378
pax6	5080
wnt4	54361
stat6	6778
hnf1a	6927
rarg	5916
igfbpl1	347252
mc2r	4158
pcdh20	64881
tcf20	6942
akt2	208
mapk4	5596
ihh	3549
nap1l1	4673
vsig1	340547
plek	5341
acvrl1	94
cenpa	1058
mydgf	56005
acvr2b	93
nkiras1	28512
wnt16	51384
bves	11149
tp53	7157
sox17a	64321
hhipl1	
slc9a1	6548
fzd3	7976
fgf13	2258
mapk8ip2	23542
ca2	760
slc30a1	7779
nfic	4782
irx5	10265
pkhd1l1.1	93035
pfkp	5214
prrt1	
gs17	
slc22a5	6584
ptf1a	256297
mmd	23531
npdc1.2	56654
fn1	2335
pgr	5241
fgf9	2254
ghsr	2693
chrdl1	91851
emc2	9694
pdgfa	5154
onecut3	390874
spag9	9043
pcdh8	5100
nkx6-2	84504
vegfc	7424
grem1	26585
sox2	6657
pik3c2a	5286
carm1	10498
opn4	94233
cdh6	1004
mapk11	5600
amd1	262
msln	10232
mip	4284
gata1	2623
foxf2	2295
zeb1	6935
prrx1	5396
pbx2	5089
thibz	
smad9	4093
fshb	2488
slc9a8	23315
mhc1b2	
rhobtb1	9886
nr2c1	7181
olig4	
moap1	64112
ksr2	283455
nr3c1	2908
ezr	7430
ccn4	8840
ahsg	197
igfbp4	3487
rin2	54453
tcf21	6943
sox3	6658
mapk8ip3	23162
atp1a1	476
oxtr	5021
rorb	6096
gli3	2737
sox17b.1	64321
mdh1	4190
spink2	6691
tp53rk	112858
ptges	9536
gata5	140628
slc9a5	6553
gdf7	151449
gpr89b	51463
nap1l4	4676
akt1	207
mitf	4286
cer1	9350
foxr1	283150
sec61g	23480
wt1	7490
mmp1	4312
rala	5898
tfap2b	7021
klf2	10365
fgf10	2255
h2az1	3015
gata6	2627
igfbp5	3488
tlr8	51311
rnf220.1	55182
nos2	4843
nphs2	7827
kmt2c	58508
lrp5	4041
atp1b3	483
fabp2	2169
sfrp2	6423
jag2	3714
cyp7a1	1581
ret	5979
pabpc4	8761
casp1	834
hoxd10	3236
lifr	3977
otx2	5015
otp	23440
matk	4145
onecut2	9480
sall4	57167
myocd	93649
eif4ebp2	1979
wnt1	7471
ryk	6259
mhc1a	
ppp1r14b	26472
zfhx2	85446
prox1	5629
meis3	
ddr1	780
ncr3	259197
nr5a1	2516
sox14	8403
admp	
arhgef12	23365
cdx1	1044
pax4	5078
tshb	7252
bmp8	
esrra	2101
pitx1	5307
fkbpl	63943
slc44a4	80736
slc7a8	23428
nucb2	4925
eya4	2070
igfbp1	3484
cdk7	1022
lef1	
rab1a	5861
mapkbp1	23005
dcn	1634
nudt6	11162
grb10	2887
mapk9	5601
mhc1b	
spred2	200734
ccnj	
tgfbr2	7048
bmpr1a	657
hsp70	
avpi1	
mmp14	4323
hnf1b	6928
jag1	182
hoxc5	3222
diras2	54769
smad4	4089
scly	51540
tnni1.2	7135
tfcp2	7024
mgc69493	
nrp2	8828
vegfa	7422
il12rb2	3595
nodal6	
ifngr2.1	3460
hoxb1	3211
mapk12	6300
hoxd9	3235
nr2e3	10002
hdac2	3066
sim1	6492
hnf4b	
tlx1	3195
hoxd11	3237
hivep2	3097
ppih	10465
pkm	5315
slc9a4	389015
rsad2	91543
mix1	83881
ins	3630
ins	3630
atp6v1b1	525
hey2	23493
gata3	2625
pkd1l3	342372
tpm1	7168
pafah1b3	5050
fgf1	2246
tcf7l2	6934
nkx2-1	7080
grhl2	79977
smad7	4092
bmp7.1	655
ap2a2	161
lemd3	23592
senp5	205564
lrp2	4036
hoxa5	3202
bax	581
wnt6	7475
pde3b	5140
skil	6498
atp4a	495
lhb	3972
btrc	8945
hrg	3273
hes2	54626
msr1	4481
pdzd3	79849
pitx3	5309
esrrg	2104
thbs1	7057
pias4	51588
pcdh18	54510
eya3	2140
ier2	
skiv2l	6499
slc26a3.2	1811
ift88	8100
esr2	2100
marchf1	55016
c3	718
nphp1	4867
sbno2	22904
fst	10468
per2	8864
crhbp	1393
cltrn	57393
nr2f5	
arrdc1	
ctnnbip1	56998
ruvbl1	8607
c5	727
nfib	4781
mett	
thdl18	
mybpc1	4604
gdpd2	54857
bhlhe40	8553
mapkapk5	8550
rab21	23011
sox21	11166
foxa4	
slc2a2	6514
slc5a5	6528
hes7.2	84667
prkcb	5579
fgf19	9965
vdr	7421
wif1	11197
qki	9444
rhd	6007
cript	9419
slc6a2	6530
pias1	8554
zbtb33	10009
grhl1	29841
hoxc11	3227
wnt2	7472
tlr7	51284
foxl2	668
ncoa3	8202
pias3	10401
bcl11a	53335
myd88	4615
insl5	10022
spry3	10251
hoxa4	3201
prkch	5583
hey1	23462
kazald1	81621
kcp	375616
nr1h5	
thul16	
amhr2	269
dmbx1	127343
ddah2	23564
tap1	6890
gsc	145258
axin1	8312
dusp22	56940
pax2	5076
thdl20	
irx1	79192
mrtfa	57591
farp1	10160
naa25	80018
tbx5	6910
gps2	2874
srsf1	6426
trpm7	54822
tshz2	128553
akap17a	8227
akap17a	8227
tlr9	54106
hoxc10	3226
rrm2.2	6241
bst1	683
prickle1	144165
nkx2-6	137814
mef2c	4208
slc15a2	6565
acsm3	6296
tnni3	7137
mrc2	9902
fgf2	2247
crat	1384
fzd2	2535
sox5	6660
insig1	3638
srsf5	6430
pde6c	5146
csnk2a2	1459
map2k7	5609
slf2	55719
csf3	1440
gsk3b	2932
acvr1c	130399
ace2	59272
xbp1	7494
rasa4	10156
pax7	5081
rassf3	283349
hhex	3087
nodal1	
nppb	4879
prok1	84432
gdf11.1	10220
ctnnb1	1499
mcph1	79648
net1	10276
tcf19	6941
cux2	23316
rps6ka2	6196
gsk3a	2931
socs2	8835
syngap1	8831
dnm1l	10059
foxd3	27022
igfbp2	3485
gdf3	9573
mixer	
vegfd	2277
tbx20	57057
vars1	7407
foxa1	3169
slc9a3r1	9368
snai2	6591
fsd2	
ehmt2	10919
mef2a	4205
arnt2	9915
atp6v1g2	534
smo	6608
rpa2	6118
orlx	
mif	4282
gata4	2626
pygo1	26108
nodal2	
nkx2-4	644524
dio3	1735
hhip	64399
marcksl1	65108
pstpip2	9050
hnf4g	3174
nphp4.2	261734
c6orf136	
cd44	960
isl2	64843
slc11a2	4891
alas2	212
pdgfb	5155
nr6a1	2649
nog2	
nos1	4842
mcl1	4170
prkd1	5587
mrtfb	57496
prkcq	5588
il1r1	3554
foxi4.2	
meis2	4212
ppp1r14c	81706
ptgis	5740
htra1	5654
tfrc	7037
twsg2	
nog	9241
rps6ka6	27330
slurp1l	
slc9a7	84679
casp8	841
angpt2	285
frat1	10023
runx3	864
rab9a	9367
cdkn1a	1026
nphs1	4868
gapdh	2597
hes4	57801
prcp	5547
eya2	2139
aqp4	361
ptpn6	5777
nphp3	27031
gh1	2688
slc13a1	6561
rbbp7	5931
spred3	399473
csnk2b	1460
agpat1	10554
nr1h4	9971
pax1	5075
nr0b1	190
nkx2-5	1482
lfng	3955
mst1	4485
hes1	3280
cnr2	1269
aqp3	360
nf1	4763
snai3	333929
shh	6469
tubd1	51174
ltbp1	4052
sox7	83595
foxd1	2297
hoxa2	3199
spink1	6690
pecam1	5175
tgfb1	7040
dtx3	196403
angpt1	284
ocm1	
ifng	3458
trg	6965
angptl2	23452
uvrag	7405
fgf7	2252
irak1	3654
socs3	9021
trac	28755
anos1	3730
ptch1	5727
sfrp1	6422
csnk1g1	53944
slc49a4	84925
prcc	5546
miox	55586
mok	5891
lyz	4069
aspscr1	79058
rnf139	11236
tbpl1	9519
tbp	6908
cand1	55832
taf4	6874
btaf1	9044
mdk	4192
bicc1	80114
flot1	10211
efna5	1946
efnb2	1948
efna2	1943
ephb1	2047
epha7	2045
ephb3	2049
hdac7	51564
tfap2c	7022
hdac9	9734
hdac5	10014
h3-3b	3021
hdac4	9759
kat7	11143
rps18	6222
msi2	124540
nkx1-1	54729
srrm1	10250
rin3	79890
srsf6	6431
sh3tc2	79628
slc41a1	254428
ly86	9450
tcf15	6939
zbtb24	9841
thyn1	29087
ttll13	
itgav	3685
fscn1	6624
tmpo	7112
actr2	10097
rac1	5879
rab35l	11021
rap2c	57826
nova2	4858
tbc1d7	51256
twf1	5756
stxbp6	29091
dynlrb1	83658
tagln	6876
cdk18	5129
smarcd2	6603
fnbp1l	54874
actn2	88
kdelr3	
hnrnpc	3183
rab5b	5869
smn1	6606
capza2	830
kmt5a	387893
ppp1r1a	5502
tbce	6905
pitpna	5306
mbd4	8930
rhoa	387
cd28	940
gjb3	
nedd4l	23327
sec11c	
grp	2922
dram1	55332
wwtr1	25937
dstn	11034
rab31	11031
sdf2	6388
pkp3	11187
cnmd	11061
prpf31	26121
rab11a	8766
kifc1	3833
pfdn6	10471
wdr46	9277
ttc9b	
slc10a7	84068
jup	3728
anln	54443
carhsp1	23589
trib2	28951
rhov	
adrm1	11047
zbtb8os	339487
hebp2	23593
ran	5901
tmx2	51075
ppp1r14a	94274
mras	22808
diras1	148252
rbm18	
ptk2b	2185
gsn	2934
rbm38	55544
nxf1	10482
mrpl36	64979
rcan1	1827
pacsin2	11252
rassf6	166824
rerg	85004
rab22a	57403
rhot2	89941
nedd1	121441
slc25a3	5250
ttll7	
slc12a2	6558
lmnb1	4001
sfswap	6433
arvcf	421
capza1	829
csdc2	27254
smg1	23049
ntrk3	4916
il16	3603
rab26	25837
cd40lg	959
tbcb	1155
elovl2	54898
dynlt3	6990
nrcam	4897
dock4	9732
ifrd1	3475
srp14	6727
gjd2	57369
rasgrp1	10125
src	6714
slc32a1	140679
raly	22913
mfsd4a	
rab18	22931
pard6b	84612
pkp4	8502
etv1	2115
avil	10677
wdr1	9948
tbx18	9096
cxcr4	7852
tuba4b	
fnta	2339
creb3l1	90993
cd180	4064
rangap1	5905
maff	23764
tmem184b	
itga6	3655
rbfox2	23543
rab3a	5864
cav1	857
habp4	22927
kcnj14	3770
trim29	23650
rnd1	27289
tubal3.1	
pard3	56288
lhx3	8022
aacs	65985
eea1	8411
cish	1154
myog	4656
smpx	23676
adamts14	140766
shc4	399694
atp8b1	5205
rbm25	58517
kitlg	4254
znf423	23090
ppp2r5b	5526
ehd1	10938
rac3	5881
dync1li1	51143
il17d	53342
skap1	8631
shroom3	57619
ablim2	84448
setmar	6419
arl8b	55207
il21r	50615
alk	238
il22	50616
ldb2	9079
tapbp	6892
hsd17b8	7923
rcn1	5954
mycbp	26292
pnrc2	55629
myom3	127294
lhx2	9355
rbpms2	
efs	10278
krt19	3880
krt17	3872
msx1	4487
afap1l1	134265
rab3d	9545
lhx5	64211
arpc1b	10095
dnajc27	51277
sync	81493
tmem54	
lmnb2	84823
tubgcp2	10844
rragd	58528
adamts3	9508
gja5	2702
tbca	6902
nes	10763
inpp1	3628
arpc5l	
arpc4	10093
capzb	832
rab40b	
rab27a	5873
ccr7	1236
prokr2	128674
klf5	688
msi1	4440
tubgcp6	85378
camkk1	84254
brca1	672
gcnt2.2	2651
elk4	2005
palld.2	23022
cobl	23242
tfap2d	83741
smarcc2	6601
tjp1	7082
sema3d	223117
cnksr2	22866
mapk13	5603
khdrbs2	202559
stk32a	
oaz1	4946
sdc3	9672
rbpj	3516
grpel2	
zbtb8a.2	
hnrnpu	3192
gramd2b	
rab36	9609
sftpb	6439
srsf3	6428
sugp2	10147
aldh2	
cuta	51596
lsp1	4046
elavl3	1995
dync1i1	1780
actb	60
ror1	4919
flrt3	23767
ranbp1	5902
dock5	80005
nedd9	4739
mak	4117
txndc5	81567
lrrn3	
actr5	
nucks1	64710
tubgcp3	10426
hnrnpa2b1	3181
inhba	3624
ptbp2	58155
sst.1	6750
polr2f	5435
neurog2	63973
tlr3	7098
rasl11b	65997
igbp1	3476
gkn1.2	56287
nfkbia	4792
gjc1	10052
gpr84	53831
smarcd1	6602
dicer1	23405
tubb2b	347733
sall3	27164
stam2	10254
znf532	
stab2	55576
osmr	9180
anapc2	29882
rab11b.1	9230
vps52	6293
rhou	58480
taf11	6882
spdef	25803
rab9b	51209
socs1	8651
rem2	161253
mlf2	8079
tuba8	51807
eif4a1	1973
tubg1	7283
ipp	3652
isoc1	
pno1	
rab33b	83452
srsf9	8683
pglyrp1	8993
edn1	1906
xpo7	23039
thap5	168451
taf8	129685
nampt	10135
ssb	6741
lin28a	79727
sall1	6299
utp15	84135
egfl7	51162
epc2	26122
pten	5728
ipo5	3843
neurog1	4762
tubb6	84617
pi4k2a	55361
inka1	
eed	8726
rab24	53917
ror2	4920
stau2	27067
plekhj1	55111
mknk2	2872
dynlrb2	83657
rragc	64121
mbd3	53615
eif1	
arpc2	10109
hnrnpl	3191
smndc1	10285
ak2	204
yars1	8565
actg1	71
rbm14	10432
sesn1	27244
pdk4	5166
pon2	5445
tut1	64852
rrad	6236
ipo13	9670
slc25a1	6576
tubgcp4	27229
alcam	214
cntn1	1272
gpr85	54329
rbm12	10137
apbb2	323
elavl2	1993
srek1	140890
rab27b	5874
polr2h	5437
psmd5	5711
olfm1	10439
tarbp2	6895
malt1	10892
shc3	53358
dynlt1	6993
dctn4	51164
chek1	1111
brap	8315
btbd2	55643
ssna1	8636
phf1	5252
zbtb9	
actr1a	10121
il17b	27190
hpca	3208
akt1s1	84335
acta1	58
actl6a	86
znf608	
lox	4015
megf10	84466
marchf3	115123
slc27a6	28965
aldh7a1	501
smarca1	6594
rlim	51132
ulk1	8408
bard1	580
lhx9	56956
slc2a13	114134
iqgap1	8826
rhoq	23433
caskin1	57524
rbm33	
rheb	6009
nefl	4747
ido1	3620
polm	27434
glrx3	10539
bccip	56647
rreb1	6239
gcm2	9247
ssr1	6745
riok1	83732
pak1ip1	55003
dsp	1832
srpx	8406
ppp1r3a	5506
irak4	51135
rbm39	9584
cxcr5	643
klhdc8a	55220
slc45a3	85414
tmcc2	
nebl	10529
nfatc2	4773
ccnl1	57018
arrdc4	
tax1bp1	8887
cbx3	11335
tra2a	29896
skap2	8935
adamts2	9509
syne2	23224
mga	23269
brip1	83990
hnrnpll	92906
sh2d4b	
ttll4	
bmp2k	55589
shd	56961
sh2d4a	63898
alox5ap	241
il1rap	3556
cttn	2017
vcam1	7412
triobp	11078
mex3c	51320
rasgrp3	25780
myo9a	4649
myo3b	140469
arid1a	8289
sesn2	83667
gsx2	170825
kit	3815
tbcc	6903
trpm1	4308
adam17	6868
tuba1b	10376
idi1	3422
sh3kbp1	30011
brd3	8019
slc2a8	29988
sgk3	23678
ppp1r9b	84687
adamts1	9510
myo15a	51168
fubp3	8939
rab23	51715
wnt8b	7479
gpr157	
nmi	9111
rax	30062
alpk2	
lman1	3998
coro2a	7464
smarcad1	56916
poll	27343
ina	9118
sptb	6710
tube1	51175
lhx4	89884
heca	51696
sema4d	10507
il13ra2	3598
cirbp	1153
rab12	201475
snx15	29907
gpha2	170589
sigirr	59307
ranbp2	5903
kcna4	3739
sh2b3	10019
idh3g	3421
shf	90525
sf3a2	8175
pspc1	55269
elf1	1997
frk	2444
lrrn1	
cntn4	152330
edem1	9695
siglec1	6614
vax2	25806
sf3b4	10262
unc93b1	81622
tlr6	10333
daxx	1616
slc39a7	7922
hnrnpul2	
srsf10	10772
gja9	81025
prok2	60675
mex3d	399664
iqgap3	
vim	7431
ipo4	
hap1	9001
rgl3	57139
ripk2	8767
rin1	9610
zcchc17	
srsf4	6429
mxi1	4601
kcnq3	3786
efr3a	23167
rassf4	83937
epc1	80314
rab37	326624
fubp1	8880
nexn	91624
ckb	1152
rnf19b	127544
trim63	84676
cnksr1	10256
rras	6237
atp6v0a4	50617
tsku	25987
ttl	150465
mertk	10461
gja8	2703
ldb1	8861
tgfb1i1	7041
nfkbid	
col1a2	1278
asb4	51666
ppp1r9a	55607
armc8	
prpf4	9128
cdk12	51755
khsrp	8570
adad1	132612
ttbk2	146057
lhx6	26468
nfkbil1	4795
lta	4049
rbms3	27303
arfgap2	84364
pacsin3	29763
smarcal1	50485
tbcd	6904
a4galt	53947
arfgap3	26286
fgd4	121512
sec61b	10952
nr4a3	8013
traf2	7186
phactr3	116154
ifnar1	3454
il10rb	3588
rbpms	11030
shoc2	8036
coro6	
axin2	8313
rem1	28954
magoh	4116
myf5	4617
phax	51808
rab39b	116442
flnc	2318
rbm17	84991
smarcb1	6598
plk4	10733
xpo6	23214
ckm	1158
eef1e1	9521
rbm24	221662
dnajb9	4189
bpi4	671
bpi4	548411
rasgrf1	5923
cd36	948
magi2	9863
rap2b	5912
wnt8a	7478
dync1li2	1783
actr10	
eif3l	
micall1	
kcnj4	3761
atrip	84126
rasl10a	10633
virma	25962
mbd2	8932
spen	23013
tnpo1	3842
larp6	55323
atm	472
thy1	7070
rab6b	51560
rhebl1	
tuba1c	
prph	5630
arl6ip4	51329
fbxw2	26190
wdr5	11091
mrps2	51116
gfpt1	2673
actn1	87
nfatc3	4775
gipc1	10755
acta2	59
rbm6	10180
itga5	3678
hnrnpa1	3178
jam2	58494
itga3	3675
alox5	240
vhl	7428
celf5	60680
slc2a5	6518
ca6	765
ski	6497
adm	133
fntb	2342
tubgcp5	114791
myo7a	4647
p4hb	5034
hltf	6596
arpc5	10092
arl2	402
rab34	83871
arpc3	10094
foxi1	2299
tom1l1	10040
ap3d1	8943
mob3a	
gja3	2700
afap1	60312
leng1	
u2af2	11338
